EAN Code,Article Des,PO Article No
8886468550248,VLCC SW UV EX DNA DE-TOX UV BW 35ml,1246660
8907122011513,VLCC YOUTH BST BDY LTN SPF 25PA 400ml,1330348
8907122011544,VLCC ACTVFRTDMG RPR BLT SPF 30PA 400ml,1330349
8907122011575,VLCC COCA BTR DEAN GLOW SPF 3 PA 400ml,1330350
8907122011445,VLCC ULTMO WHTNNG & DTFYNG FCEPK100g,1330376
8907122011001,VLCC 7X WHTNG&BRTNG CHRL PELOFFMSK 100g,1330377
8907122011483,VLCC AYRVD BRIGHT BL SPF 25 PA 400ml,1330344
8907122007585,VLCC AYUSHMEN MOISTRSR 100g,1330374
8907122008292,VLCC AYR UTH MIRCL ANTI AGNG CRM 50g,1330369
8907122009978,VLCC AYUR INTNS NRSHNG SHMP350ml,1330345
8907122009992,VLCC AYUR ANTI HAIR FALL SHMPO 350ml,1330355
8907122008308,VLCC AYUR CLR ACTV D PIGMENTNCRM 50g,1330346
8907122011742,VLCC GLAM 10-1 SKNPRFCTR (MED) 30ml,1330370
8907122011735,VLCC GLAM10-1SKNPRFCTR LGHT- FAIR 30ml,1330378
8907122011636,VLCC TOTAL NORSHMNT FRUIT CRM 200g,1330352
8907122007554,VLCC AYUSHMEN FACE WASH 100g,1330373
8907122011209,LIP BALM CHOCOLATE 4.5g /P,1330354
8907122008438,VLCC AYUR MULTANI MITTI FACE PACK 100g,1330347
8907122009268,VLCC AYUR STHNG ALO VERA GEL 100g,1330372
8907122008445,VLCC AYR WHITE & BRGT GLOW GL CRM20g,1330371
8907122011612,VLCC 3-1 INTNV CR CLDCRM SPF 20 PA 75g,1330351
8907122007592,VLCC AYUSHMEN SHVNG GEL,1330375
8907122011681,VLCC VASOPLUS PTRLM JELLY 42g,1330353
