EAN Code,PO Item Description,PO Article No
8907122011209,VLCCChocolate+Cherry Lip Balm4.5 gm No Blister Pk,101331837
8907122011674,VLCCVasoplus Petroleum Jelly42 gm No Jar,101331839
8907122011513,VLCCYouth Boost Body Lotion400 ml No Bottle,101331855
8907122011575,VLCCCocoa Detan Glow Body Lotion400 ml No Bottle,101331851
8906008458817,VLCC ALMOND BODY LOTION B1G1,100015058
8907122001842,VLCC Daily Protect Cherry Lip Balm 4.5g,1314396
8907122011483,Vlcc Ayurveda Wb Lotion Spf25 400ml,1356388
8907122011513,Vlcc Youth Bb Lotion Spf25 400ml,1356389
8907122011575,Vlcc Cocoa Butter Spf30 400ml,1356391
8907122011445,Vlcc Whitening N Detixifying Fpack 100g,1356393
8907122009268,Vlcc Ayurved Soothing Aleo Vera Gel 100g,1356394
8907122011681,Vlcc Vasoplus Petroleum Jelly 42gm,1356396
8907122011209,Vlcc Chocolate N Cherry Lip Care Cmb,1356397
,Vlcc Ayrd Dandruf Control Shampoo 350 Ml,1356398
8907122009978,Vlcc Ayvd Intns Nourishing Shampoo 350ml,1356400
8907122011544,Vlcc Active Fd Rpr Bdy Lotn Spf30 400ml,1356390
8907122011001,Vlcc 7x Wnb Charcoal Peel Off Mask 100g,1356395
8907122011612,Vlcc 3 In 1 Intsv Care Cold Cr Spf20 75g,1356392
8906008460438,VLCC Alpinemint & Teatree Face,1272440
8907122009992,Vlcc Ayrd Anti Hair Fall Shampoo 350ml,1356399
8907122009992,VLCC SC  SNIGDHA NIGHT  CRM SKN  WHITEN 50g,1000061205
8906008460476,VLCC HENNA  100G,109001501
8906008460476,VLCC Snighda Skin Whitening Serum 40ml,89761
8907122006090,Vlcc Skin Purifying Double Power Double Neem Face Wash 100ml,91375
8907122006076,Vlcc Skin Brightening Haldi & Chandan Face Wash 100ml,91373
8907122006137,VLcc Platinum Facial Kit 60gm,91380
8907122006113,Vlcc Natural Fairness Double Action Chandan & Kesar 100ml,91374
8907122008407,VLCC Matte Look SPF 30 Sun Screen Gel Crème (Tinted) 50gm,91798
8907122002276,Vlcc Liquorice Cold Cream 50gm,91383
8907122008537,VLCC De Tan SPF 50 Sunscreen Gel Crème Lotion SPF 50 100gm,91799
8907122008513,VLCC 3D Youth Boost SPF40 Sunscreen Gel Crème 100gm,91795
8907122008292,AyurvedaYthMiracleAntiA,30067010
8907122008308,AyurvedaSptlsClrActvDPg,30067011
8907122008438,Mitti FacePack 100g,30067012
8907122008445,AyurvedaWhite&BrightGlo,30067013
8907122009268,AyurvedaSoothingAleo,30067014
8907122011001,7XUltWhtng&BrtngChrclPe,30067015
8907122011445,UltmoBlndsWteng&Dtixify,30067016
8907122011483,ArvdaWt&BrtGlwBdyLtnSPF,30067017
8907122011490,ArvdaWt&BrtGlwBdyLtnSPF,30067018
8907122011513,BodyLotion (B1G1) 400ml,30067019
8907122011520,BodyLotion (B1G1) 100ml,30067020
8907122011544,ActvFrtsDmgRprBdyLtnSpf,30067021
8907122011551,AtvFrtsDmgRprBdyLtnSpf3,30067022
8907122011575,CocoaBttrDetanGlowSPF30,30067023
8907122011582,CocoaBttrDetanGlowSPF30,30067024
8907122011612,3In1IntnsiveCrColdCrmSP,30067025
8907122011636,Fruit Cream 200G,30067026
8907122011735,Glm&Glo10In1SkinPrftr(L,30067027
8907122011742,Glm&Glo10In1SkinPrfctr(,30067028
8907122009060,VLCC M-P/Parfum-Musky Nturl 23ml,871208
8907122009053,VLCC M-P/Parfum-Woody Forst 23ml,871207
8907122009046,VLCC W-P/Parfum-Florl Gardn 23ml,871211
8907122009039,VLCC W-P/Parfum-Herbl Forst 23ml,871210
8907122010196,VLCC B/L D-Tan+W/Glw SPF30 350ml,871206
8907122007561,VLCC Scrub Ayush Men 50g,871219
8907122008292,VLCC A-Aging Crm A-Y/Miracle 50g,871215
8907122008308,VLCC A/C-Actv D Pgmntatn Crm 50g,871214
8907122007554,VLCC Face Wash Ayush Men 100g,871218
8907122008407,VLCC Sunscreen Matte Look SPF30 100g,52080
8907122011735,VLCC GLAM N GLOW                          10 IN 1 SKIN  PERFECTOR LIGHT TONE 30ML,130462449
8907122011742,VLCC GLAM N GLOW                          10 IN 1 SKIN  PERFECTOR MEDIUM TONE 30ML,130462465
8907122011209,VLCC CHOCOLATE LIP                         BALM 4.5G,130462481
8907122011636,VLCC TOTAL   NOURISHMENT FRUIT CREAM 200G,130462609
8907122011612,VLCC 3IN1                                 INTENSIVE CARE  COLD CREAM SPF20 75G,130462781
8907122011681,VLCC VASOPLUS   PETROLEUM JELLY 42G,130462801
8907122011483,VLCC AYURVEDA                             WHITE AND BRIGHT  GLOW BODY LOTION SPF25 400ML,130462828
8907122011575,VLCC COCOA BUTTER   DETAN GLOW LOTION SPF30 400ML,130462861
8907122011445,VLCC ULTIMO BLENDS   WHITE N DETOX FACE PACK 100G,130463249
8907122011001,VLCC 7X ULTRA                             WHITE AND BRIGHT  CHARCOAL PEEL OFF MASK 100G,130463265
8907122009268,VLCC AYURVEDA   SOOTHING ALEO VERA GEL 100G,130463281
8907122011513,VLCC YOUTH BOOST   BODY LOTION SPF25 400ML,130462844
8907122002986,VLCC SKIN WHTNING MINI FACIAL,380726
,VLCC INSTA FAIR & GLOW COLD CREAM,383200
8907122006113,*A* VLCC NTURL FAIRNESS CHANDAN&KESAR,380723
8907122003761,VLCC TULSI FW 150ML+ORG FW FREE,376172
8907122006076,VLCC SKIN HALDI CHANDAN FACE WASH,380722
8907122003099,*A* VLCC WALNUT FACE SCRUB-80GM,376464
8907122000050,*A* VLCC INSTA GLOW GLD BLEACH 60 GM,376470
8907122002993,*A* VLCC SKIN GLOW MINI FACIAL KIT,380725
8907122006090,VLCC SKN PURFYNG DBLNEEM FACEWASH,380724
8906008451009,VLCC KAJAL-3304,50801665
,Men Active Light Fairness Moisturiser 100ml,491108325
8907122003372,VLCC SNIGHDA SKIN WHTNIG SERUM 40 ml TUB,491108513
8906008451009,VLCC KAJAL 1 g,491061444
8907122003372,VLCC SNIGHDA SKIN WHITENING SERUM 40ml,1275895
8907122003365,VLCC SNIGHDA SKIN WHTNING NIGHT CRM 50g,1275894
,VLCC GW CREAM RENEWAL 35ml,1258348
8906008459487,VLCC Hair Smoothening Shampoo-350ml,1255929
,Vlcc Ayrd Smooth N Shine Shampoo 350 Ml,1356401
8906008456554,VLCC BLEACH GOLD 30G,615235199
8906008458022,VLCC GOLD FACIAL KIT,615246609
8906008452785,VLCC FACIAL KIT INSTA GLOW,615666049
8906008458039,VLCC FACIAL KIT DIAMOND,615665979
8907122002658,VLCC FACEWASH MULBERRY ROSE 150ML,616181879
8907122002665,VLCC FACEWASH TURMERIC&BRBERIS 150,616735019
8907122002641,VLCC FACE WASH NEEM 150 ML B1G1,617290749
8906008458015,VLCC PEARL FAIRNESS FACIAL KIT,615176609
8906008459487,VLCC SHAMPOO HAIRFAL REPAIR 350ML,616829169
8906008459517,VLCC SHAMPOO PROTEIN 350 ML,616829099
8906008458817,VLCC BODY LOTION ALMOND 350 ML,615830619
8907122011483,VLCC BODY LOTION WHITE & BRIGHT 400ML,980011131
8907122011544,VLCC BODY LOTION DAMAGE REPAIR 400ML,980011133
8907122002276,VLCC LIQUORICE COLD CREAM 50G,616388239
8907122011636,VLCC FRUIT CREAM TOTAL NOURISH 200G,980011135
8907122011520,VLCC BODY LOTION YOUTH BOOST 100ML,980011132
8907122011612,VLCC COLD CREAM 3 IN 1 CARE 75G,980011134
8907122002672,VLCC SUNSCREEN SPF 25 150ML,616082829
