EAN,Item Description,Chain name
8907122011483,VLCC WHITE & BRIGHT BODY LTN 400ML BTL,491488527
8907122011513,VLCC YOUTH BOOST BODY LOTION 400ML BTL,491488529
8907122011544,VLCC DAMAGE REPAIR BODY LOTION 400ML BTL,491488531
8907122011490,VLCC WHITE & BRIGHT BODY LTN 100ML BTL,491488528
8907122011520,VLCC YOUTH BOOST BODY LOTION 100ML BTL,491488530
8907122011551,VLCC DAMAGE REPAIR BODY LOTION 100ML BTL,491488532
8907122011575,VLCC COCOA DETAN BODY LOTION 400ML BTL,491488533
8907122011582,VLCC COCOA DETAN BODY LOTION 100ML BTL,491488534
8907122011209,VLCC CHOCOLATE LIP BALM 4.5GM TUB,491488540
8907122011391,VLCC COCOA BUTTER LIP BALM 10GM TUB,491488541
8907122011407,VLCC STRAWBERRY LIP BALM 10GM TUB,491488542
8907122011414,VLCC HYDERATING LIP BALM 10GM TUB,491488543
8907122011841,VLCC COLD CREAM JAR 24*10GM TUB,491488536
8907122011674,VLCC VASO PLUS PRUM JELLY JAR 48*7GM CBD,491488539
8907122011681,VLCC VASO PLUS PETROLEUM JELLY 42GM CBD,491488538
8907122011612,VLCC 3 IN 1 INT CARE COLD CREAM 75GM TUB,491488535
8907122009268,VLCC ALOEVERA GEL 100GM TUB,491488537
