FG code,Itemname
F0214-001,VLCC SANDAL CLEANSING    MILK (100 ML.)
F0212-001,ROSE WATER TONER 100 ML
T0001-003,VLCC KAJAL (2.5+2.5 GM)
F0031-001,VLCC INSTA GLOW OXYGEN BLEACH (25.7 GM.)
F0034-001,VLCC INSTA GLOW GOLD BLEACH (30 GM.)
F0099-017,PEARL FACIAL KIT
F0097-019,GOLD FACIAL KIT
F0095-021,DIOMOND FAICAL KIT
F0032-001,VLCC INSTA GLOW HERBAL BLEACH (27 GM.)
F0162-005,VLCC ALMOND BODY LOTION – 350ML
f0319-002,VLCC HAIR FALL CONTROL SHAMPOO (350ML+350ML)
F0321-002,VLCC NOURISHING & SILKY SHINE SHAMPOO (350ML+350ML)
T0291-001,VLCC AYURVEDIC HENNA (120+120 GM)
T0036-005,VLCC DAILY PROTECT LIP   BALM STRAWBERRY 4.5GM
T0037-004,CHERRY BOGO 4.5+4.5GM    B1G1
F0307-003,VLCC TURMERIC & BERBERIS FACE WASH 150 ML + ANTI TAN FACE WASH 150 GM
F0328-002,VLCC TULSI FACE WASH 150 ML + ORANGE FACE WASH 150 ML
F0367-001,VLCC HALDI & CHANDAN FACE WASH 100 ML
F0371-001,VLCC CHANDAN & KESAR FACE WASH 100 ML
F0404-001,VLCC AYUSHMEN FACE WASH 100GM
F0409-001,VLCC AYURVEDA MULTANI MITTI FACE PACK
T0324-001,POCKET PARFUM-NATUREL LIME-UNISEX
T0325-001,POCKET PARFUM-HERBAL     FOREST-WOMAN
T0326-001,POCKET PARFUM-FLORAL     GARDEN-WOMAN
T0327-001,POCKET PARFUM-WOODY      FOREST-MAN
T0328-001,POCKET PARFUM-MUSKY      NATUREL-MAN
T0306-001,AYURVEDA SOOTHING ALEO VERA GEL 100GM
F0525-001,7X ULTRA W & B CHARCOAL PEEL OFF MASK 100GM
T0322-002,CHOCOLATE + CHERRY       COMBO 4.5+4.5GM B1G1
F0548-002,YOUTH BOOST BODY         LOTION 100ML B1G1
F0550-002,ACTIVE FRUITS DAMAGE RPR B/LOTION SPF 30 400ML B1G1
F0551-002,ACTIVE FRUITS DAMAGE RPR B/LOTION SPF 30 100ML B1G1
F0553-002,COCOA BUTTER DETAN       GLOW SPF 30 400ML B1G1
F0554-002,COCOA BUTTER DETAN       GLOW SPF 30 100ML B1G1
T0330-001,VASO PLUS PETROLEUM      JELLY 42
f0367-003,FACEWASH VLCC 2P1 HALDI&CHANDAN 100ML COMBO_2
