Old,New,New Description
F0365-001,F0365-003,Deep Pore C & B Haldi & Tulsi FW 100ml + HT 50ml Free
F0367-001,F0367-003,Skin Bright Haldi & Chandan FW 100ml + HC 50ml Free
F0369-001,F0369-003,Double Power Double Neem FW 100ml + Neem 50ml Free
F0371-001,F0371-003,Natural Fair Kesar & Chandan FW 100ml + KC 50ml Free
F0094-011,F0094-017,Anti Tan Facial Kit 6 steps Tube WG 20g
F0095-013,F0095-021,DIAMOND FACIAL KIT 6 steps Tube WG 20g
F0096-010,F0096-015,Papaya Fruit Facial Kit 6 steps Tube WG 20g
F0097-012,F0097-019,GOLD FACIAL KIT 6 steps Tube WG 20g
F0098-010,F0098-015,Party Glow Facial Kit 6 steps Tube WG 20g
F0099-011,F0099-017,PEARL FACIAL KIT 6 steps Tube WG 20g
F0101-006,F0101-009,Silver Facial Kit 6 steps Tube WG 20g
F0373-001,F0373-002,PLATINUM FACIAL KIT 6 steps Tube WG 20g
F0468-001,F0468-002,Pearl Facial Kit Tube & Jar + Free 2 Pcs Gold Bleach 30gm
F0469-001,F0469-002,Gold Facial Kit Tube & Jar + Free 2 Pcs Gold Bleach 30gm
F0470-001,F0470-002,Diamond Facial Kit Tube & Jar + Free 2 Pcs Gold Bleach 30gm
F0471-001,F0471-002,Platinum Facial Kit Tube & Jar + Free 2 Pcs Gold Bleach 30gm
