FG Code,PO Article No,PO Item Description
F0185-001,100230532,VLCC Alpine Mint & Tea Tree Gentle Refreshing Facewash
F0320-002,100196420,Vlcc Dandruff Control Shampoo 350 Ml
F0187-001,100230534,VLCC Mandarin & Tomato Natural Fairness Facewash 175 ml
F0187-001,1272443,VLCC Mandarin & Tomato Facewash 175ml
F0185-001,1272440,VLCC Alpinemint & Teatree Face
F0099-014,1149239,VLCC Pearl Fairness Single Facial Kit
F0217-001,1292804,VLCC Anti Aging SPF25 Day Cream 50g
F0220-001,1292810,VLCC Snighda Skin Whitening Serum 40ml
F0218-001,1124903,VLCC Anti Aging Night Cream 50g
F0406-001,1348317,Vlcc Ayush Men Moisturiser 50gm
F0038-001,1000098113,VLCC BLEACH INSTA GLOW GOLD BX 60gm
F0319-002,300589240,VLCC SHMP  HAIR FALL  REPAIR 350ml
F0288-001,300467478,VLCC WHEAT  CREAM- SKIN  TIGHTENING  50gm
T0200-001,1000934206,VLCC SLMR  GRN TEA  ANTIOXNT 50
F0246-001,1001112677,VLCC SUN  BLOCK GEL 25  SPF 40ml  _x000C_
T0109-001,1000934103,VLCC SLMR  GRN TEA STRS  RLF 10
T0199-001,1000934246,VLCC SLMR  GRN TEA STR  RLF 50T  _x000C_
F0315-001,1001105023,VLCC  SUNSCREEN  SPF 50 40ML  _x000C_
T0109-001,1000934068,VLCC SLMR  GRN TEA  ANTOXNT 10T  _x000C_
T0108-001,1000934108,VLCC SLMR  GRN TEA  SLMNG 10TB
T0166-002,1000934183,VLCC SLMR  GRN TEA  ANTIOXNT 25
T0291-001,109001501,VLCC HENNA  100G
F0049-002,300397868,VLCC PEDICURE  & MANICURE KIT
T0040-001,300959953,VLCC LIP BALM  ORANGE DAILY  PROTECT 4g
F0323-001,1000488021,"VLCC,VLCC  Almond Lip Balm  4,5 gm"
F0319-002,100010045,VLCC HAIR FALL   REPAIR SHAMPOO 350ML
F0259-001,100043229,VLCC MATTE LOOK   SUNSCREEN LTN SPF30 60G
F0036-001,114927744,VLCC INSTA GLOW
T0001-003,100044681,VLCC KAJAL 2.5G
T0011-002,100008917,VLCC HENNA POWDER                          100G
F0218-001,100041351,VLCC AGE-DEFYING                           NIGHT CREAM 50G
F0185-001,100044117,VLCC TEA TREE   GENTLE REF FACE WASH 175ML
F0187-001,100044123,VLCC MANDARIN   NATURAL FAIRNESS FW 175ML
F0320-002,100008839,VLCC DANDRUFF   CONTROL SHAMPOO 350ML
F0035-001,114927761,VLCC INSTA GLOW   OXYGEN BLEACH 51.4GMS
F0321-002,100010049,VLCC PROTEIN   CONDITIONING SHAMPOO 350ML
F0113-001,338650,VLCC INSTA FAIR&GLOW FAIRNSCRM50G
F0397-001,383200,VLCC INSTA FAIR & GLOW COLD CREAM
F0369-003,380724,VLCC SKN PURFYNG DBLNEEM FACEWASH
F0310-001,380725,*A* VLCC SKIN GLOW MINI FACIAL KIT
F0328-002,376172,VLCC TULSI FW 150ML+ORG FW FREE
F0382-001,380727,VLCC NEEM FACEWASH PACK OF 24
F0367-003,380722,VLCC SKIN HALDI CHANDAN FACE WASH
F0385-001,383201,VLCC SKN CHNDNFCIAL KIT 50GM
F0313-003,490126357,VLCC SPF 25 MOISTURISING SUNSCREEN 100 g
T0001-003,491061444,VLCC KAJAL 1 g
F0116-001,490935963,VLCC FAIR & GLOW CLRSKN 2IN1 SCRUB50GM
F0113-001,490998006,VLCC INSTA FAIR & GLOW FAIRNESS CRM 50GM
T0327-001,491470490,VLCC PCKT PARFUM WOODY FOREST 22 ml CON
T0325-001,491470491,VLCC PCKT PARFUM HERBAL FOREST 22 ml CON
T0324-001,491470492,VLCC PCKT PARFUM NATUREL LIME 22 ml CON
T0326-001,491470493,VLCC PCKT PARFUM FLORAL GARDEN 22 ml CON
T0328-001,491470494,VLCC PCKT PARFUM MUSKY NATUREL 22 ml CON
F0266-008,1028375,VLCC SUNSCREEN SPF-40 CREAM 100g
F0162-005,1246669,VLCC ALMOND BODY LOTION 350ml
F0166-001,1275896,VLCC DE-PIGMENTATION FACE MASK 80g
T0146-001,1258348,VLCC GW CREAM RENEWAL 35ml
F0216-001,1292809,VLCC Snighda Skin Whtng Night Cream 50g
F0311-002,1317765,Vlcc Mulberry N Rose Facewash 150ml
F0034-001,615235199,VLCC BLEACH GOLD 30G
F0089-001,615666049,VLCC FACIAL KIT INSTA GLOW
F0095-021,615665979,VLCC FACIAL KIT DIAMOND
F0099-017,615176609,VLCC PEARL FAIRNESS FACIAL KIT
F0306-003,617290749,VLCC FACE WASH NEEM 150 ML B1G1
F0311-002,616181879,VLCC FACEWASH MULBERRY ROSE 150ML
F0319-002,616829169,VLCC SHAMPOO HAIRFAL REPAIR 350ML
F0321-002,616829099,VLCC SHAMPOO PROTEIN 350 ML
F0097-019,615246609,VLCC GOLD FACIAL KIT
F0307-003,616735019,VLCC FACEWASH TURMERIC&BRBERIS 150
F0162-005,615830619,VLCC BODY LOTION ALMOND 350 ML
F0313-003,616082829,VLCC SUNSCREEN SPF 25 150ML
